date,date_id,year,month,weekday,is_weekend
2025-12-13,1,2025,12,5,1
2025-12-07,2,2025,12,6,1
2025-11-27,3,2025,11,3,0
2025-11-23,4,2025,11,6,1
2025-11-20,5,2025,11,3,0
2025-11-19,6,2025,11,2,0
2025-11-18,7,2025,11,1,0
2025-11-15,8,2025,11,5,1
2025-11-10,9,2025,11,0,0
2025-11-09,10,2025,11,6,1
2025-11-07,11,2025,11,4,0
2025-10-31,12,2025,10,4,0
2025-10-30,13,2025,10,3,0
2025-10-25,14,2025,10,5,1
2025-10-23,15,2025,10,3,0
2025-10-22,16,2025,10,2,0
2025-10-21,17,2025,10,1,0
2025-10-15,18,2025,10,2,0
2025-10-14,19,2025,10,1,0
2025-10-13,20,2025,10,0,0
2025-10-12,21,2025,10,6,1
2025-10-10,22,2025,10,4,0
2025-10-07,23,2025,10,1,0
2025-10-06,24,2025,10,0,0
2025-10-04,25,2025,10,5,1
2025-10-03,26,2025,10,4,0
2025-10-01,27,2025,10,2,0
2025-09-30,28,2025,9,1,0
2025-09-27,29,2025,9,5,1
2025-09-26,30,2025,9,4,0
2025-09-24,31,2025,9,2,0
2025-09-09,32,2025,9,1,0
2025-09-06,33,2025,9,5,1
2025-09-05,34,2025,9,4,0
2025-09-03,35,2025,9,2,0
2025-09-02,36,2025,9,1,0
2025-09-01,37,2025,9,0,0
2025-08-26,38,2025,8,1,0
2025-08-23,39,2025,8,5,1
2025-08-20,40,2025,8,2,0
2025-08-19,41,2025,8,1,0
2025-08-15,42,2025,8,4,0
2025-08-12,43,2025,8,1,0
2025-08-11,44,2025,8,0,0
2025-08-08,45,2025,8,4,0
2025-08-07,46,2025,8,3,0
2025-08-06,47,2025,8,2,0
2025-08-05,48,2025,8,1,0
2025-08-01,49,2025,8,4,0
2025-07-31,50,2025,7,3,0
2025-07-20,51,2025,7,6,1
2025-07-12,52,2025,7,5,1
2025-07-08,53,2025,7,1,0
2025-07-03,54,2025,7,3,0
2025-06-30,55,2025,6,0,0
2025-06-27,56,2025,6,4,0
2025-06-21,57,2025,6,5,1
2025-06-20,58,2025,6,4,0
2025-06-13,59,2025,6,4,0
2025-06-10,60,2025,6,1,0
2025-06-06,61,2025,6,4,0
2025-06-05,62,2025,6,3,0
2025-06-02,63,2025,6,0,0
2025-05-29,64,2025,5,3,0
2025-05-27,65,2025,5,1,0
2025-05-25,66,2025,5,6,1
2025-05-23,67,2025,5,4,0
2025-05-22,68,2025,5,3,0
2025-05-18,69,2025,5,6,1
2025-05-14,70,2025,5,2,0
2025-05-11,71,2025,5,6,1
2025-05-09,72,2025,5,4,0
2025-05-06,73,2025,5,1,0
2025-05-05,74,2025,5,0,0
2025-04-29,75,2025,4,1,0
2025-04-28,76,2025,4,0,0
2025-04-26,77,2025,4,5,1
2025-04-25,78,2025,4,4,0
2025-04-22,79,2025,4,1,0
2025-04-16,80,2025,4,2,0
2025-04-06,81,2025,4,6,1
2025-04-05,82,2025,4,5,1
2025-03-31,83,2025,3,0,0
2025-03-25,84,2025,3,1,0
2025-03-21,85,2025,3,4,0
2025-03-18,86,2025,3,1,0
2025-03-02,87,2025,3,6,1
2025-02-28,88,2025,2,4,0
2025-02-25,89,2025,2,1,0
2025-02-12,90,2025,2,2,0
2026-01-16,91,2026,1,4,0
2026-01-10,92,2026,1,5,1
2025-12-30,93,2025,12,1,0
2025-12-28,94,2025,12,6,1
2025-12-23,95,2025,12,1,0
2025-12-22,96,2025,12,0,0
2025-12-18,97,2025,12,3,0
2025-12-14,98,2025,12,6,1
2025-12-11,99,2025,12,3,0
2025-12-09,100,2025,12,1,0
2025-12-05,101,2025,12,4,0
2025-12-04,102,2025,12,3,0
2025-11-30,103,2025,11,6,1
2025-11-26,104,2025,11,2,0
2025-11-25,105,2025,11,1,0
2025-11-08,106,2025,11,5,1
2025-11-06,107,2025,11,3,0
2025-10-29,108,2025,10,2,0
2026-10-25,109,2026,10,6,1
2025-10-20,110,2025,10,0,0
2025-10-16,111,2025,10,3,0
2025-10-08,112,2025,10,2,0
