day_of_month,orders,mean,median,sum
1,3,24.55,20.15,73.65
2,4,32.925,35.8,131.7
3,3,15.866666666666667,13.0,47.6
4,2,17.94,17.94,35.88
5,6,27.09,26.77,162.54
6,7,37.19714285714286,28.8,260.38
7,5,23.71,22.0,118.55
8,4,25.439999999999998,24.34,101.75999999999999
9,4,21.685,23.27,86.74
10,4,23.9875,23.895,95.95
11,4,39.272499999999994,41.045,157.08999999999997
12,4,20.875,21.9,83.5
13,3,16.066666666666666,13.0,48.2
14,3,32.28666666666667,30.8,96.86
15,4,23.1175,23.950000000000003,92.47
16,3,31.623333333333335,24.0,94.87
18,6,29.813333333333333,29.14,178.88
19,3,30.150000000000002,25.85,90.45
20,8,15.9725,15.0,127.78
21,3,21.599999999999998,23.0,64.8
22,4,46.445,38.25,185.78
23,8,21.512500000000003,20.075000000000003,172.10000000000002
24,1,24.7,24.7,24.7
25,7,23.13714285714286,23.16,161.96
26,5,20.692,18.99,103.46000000000001
27,5,25.21,16.4,126.05000000000001
28,3,24.493333333333336,28.8,73.48
29,3,28.956666666666667,35.67,86.87
30,5,21.054000000000002,18.69,105.27000000000001
31,3,21.326666666666668,21.0,63.980000000000004
