day_of_month,orders,mean,median,sum
1,3,26.276666666666667,21.36,78.83
2,4,34.74,37.695,138.96
3,3,17.349999999999998,13.99,52.05
4,2,18.195,18.195,36.39
5,6,28.475000000000005,27.765,170.85000000000002
6,7,37.97857142857142,30.53,265.84999999999997
7,5,25.136000000000003,23.32,125.68
8,4,24.845,25.66,99.38
9,4,22.7325,24.055,90.93
10,4,24.1075,24.28,96.43
11,4,37.265,37.86,149.06
12,4,23.060000000000002,23.29,92.24000000000001
13,3,17.17,13.99,51.510000000000005
14,3,31.400000000000002,32.65,94.2
15,4,23.095,23.665,92.38
16,3,29.743333333333336,25.44,89.23
18,6,28.724999999999998,24.625,172.35
19,3,30.293333333333333,25.55,90.88
20,8,17.05125,15.895,136.41
21,3,22.96666666666667,24.38,68.9
22,4,47.2175,39.93,188.87
23,8,22.24875,21.18,177.99
24,1,26.18,26.18,26.18
25,7,23.28142857142857,23.16,162.97
26,5,21.869999999999997,20.13,109.35
27,5,26.631999999999998,17.39,133.16
28,3,25.786666666666665,30.53,77.36
29,3,28.613333333333333,31.66,85.84
30,5,20.907999999999998,19.81,104.53999999999999
31,3,22.58666666666667,22.26,67.76
